County Name,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg SO2
Alameda,2021,Age groups,65+ years,18.6,(13.5-23.7),0.03523216056338028
Contra Costa,2021,Age groups,65+ years,13.2,(9-17.3),0.38225644383561647
Fresno,2021,Age groups,65+ years,21.2,(12.1-30.4),0.42595524022346365
Humboldt,2021,Age groups,65+ years,20.6,(11.2-30),0.270616509202454
Imperial,2021,Age groups,65+ years,18.4,(7.7-29),0.4236232892561983
Inyo,2021,Age groups,65+ years,21.7,(14.4-29),0.1511100588235294
Los Angeles,2021,Age groups,65+ years,13.2,(11.2-15.1),0.3930043506849315
Riverside,2021,Age groups,65+ years,13.1,(9.7-16.6),0.507070694214876
Sacramento,2021,Age groups,65+ years,19.5,(14-25),0.1360329475308642
San Bernardino,2021,Age groups,65+ years,16.2,(11.2-21.2),0.9746367753424657
San Diego,2021,Age groups,65+ years,12.5,(10.5-14.4),0.060819576470588235
San Luis Obispo,2021,Age groups,65+ years,15.0,(8-21.9),0.5081216325966851
Santa Barbara,2021,Age groups,65+ years,19.5,(13.1-26),0.24789120547945204
Santa Clara,2021,Age groups,65+ years,10.6,(6.5-14.7),0.17307091596638655
Solano,2021,Age groups,65+ years,21.5,(12.3-30.6),0.9421554124293785
